City,Country,Latitude,Longitude,Max. Temp.(C),Humidity(%),Cloudiness(%),Windspeed(mph),Date
Lebu,CL,-37.62,-73.65,13.23,94,28,6.65,1559509004
Oxbow,CA,49.23,-102.17,26.0,27,1,6.7,1559509006
Birao,CF,10.3,22.78,30.73,46,31,5.3,1559509007
Isangel,VU,-19.55,169.27,21.0,83,75,7.71,1559509008
Albany,AU,-35.02,117.88,9.0,93,31,3.1,1559509009
Manta,EC,-0.95,-80.73,27.0,74,75,6.2,1559509010
Chernyshevskiy,RU,63.01,112.47,9.53,62,100,2.33,1559509011
Moron,MN,47.38,110.32,8.83,78,67,2.28,1559509013
Hithadhoo,MV,-0.6,73.08,28.83,81,96,3.8,1559509014
Capiibary,PY,-24.8,-56.03,18.33,89,78,0.89,1559509015
Korla,CN,41.76,86.15,20.56,40,100,3.58,1559509016
Lensk,RU,60.71,114.91,8.43,88,100,2.03,1559509017
Damara,CF,4.96,18.7,30.0,79,20,2.55,1559509018
East London,ZA,-33.02,27.91,12.33,89,65,2.13,1559509020
Fortuna,US,40.6,-124.16,15.56,87,75,5.1,1559509021
Najran,SA,17.54,44.22,29.0,30,0,2.6,1559509023
Annau,TM,37.89,58.52,25.0,41,40,4.1,1559509025
Natitingou,BJ,10.31,1.38,28.43,61,25,1.9,1559509026
Jati,PK,24.35,68.27,30.93,62,0,7.37,1559509027
Peniche,PT,39.36,-9.38,20.56,52,0,4.6,1559509028
Amambai,BR,-23.11,-55.23,18.03,95,91,2.9,1559509029
Kalmunai,LK,7.42,81.82,25.33,83,100,0.8,1559509030
Rockport,US,28.02,-97.05,34.0,63,40,5.1,1559509032
Juneau,US,58.3,-134.42,15.56,76,75,2.6,1559508870
Vardo,NO,70.37,31.11,4.0,74,40,13.4,1559508771
Lebedyn,UA,50.58,34.48,17.03,92,0,2.7,1559509037
Camacha,PT,33.08,-16.33,25.0,82,0,8.7,1559508931
Ixtapa,MX,20.71,-105.21,27.0,69,90,6.2,1559509039
Moree,AU,-29.46,149.84,9.44,100,75,2.6,1559509040
Tasiilaq,GL,65.61,-37.64,0.0,74,0,3.6,1559509041
Olga,RU,43.74,135.29,11.73,86,27,1.17,1559509043
Mahebourg,MU,-20.41,57.7,24.0,83,75,5.7,1559509012
Paamiut,GL,61.99,-49.67,2.43,90,28,6.45,1559508943
Samarai,PG,-10.62,150.67,23.63,96,99,2.52,1559509046
Charters Towers,AU,-20.07,146.27,15.83,75,99,6.53,1559509047
Mar del Plata,AR,-46.43,-67.52,9.33,48,0,8.9,1559509048
Longyearbyen,SJ,78.22,15.64,2.0,69,0,0.5,1559509050
Qaanaaq,GL,77.48,-69.36,-1.17,88,100,3.23,1559508932
Tiksi,RU,71.64,128.87,0.23,93,97,5.65,1559508999
Garowe,SO,8.41,48.48,27.83,63,100,1.61,1559509053
Tuktoyaktuk,CA,69.44,-133.03,9.0,66,20,5.1,1559508874
Constitucion,MX,23.99,-104.67,30.0,16,75,4.6,1559509055
Nizhniy Tsasuchey,RU,50.52,115.13,12.93,67,99,1.15,1559509056
Castro,CL,-42.48,-73.76,11.0,76,40,5.7,1559509057
Minab,IR,27.15,57.07,30.0,54,98,0.64,1559509059
Iqaluit,CA,63.75,-68.52,3.0,74,20,3.6,1559508923
Tabuk,SA,28.38,36.58,33.0,11,20,4.6,1559509061
Vitry-le-Francois,FR,48.73,4.58,22.0,64,0,2.6,1559509062
Kruisfontein,ZA,-34.0,24.73,11.63,94,52,1.39,1559509063
Honiara,SB,-9.43,159.96,23.0,100,40,3.83,1559509011
Tezu,IN,27.93,96.16,24.13,61,97,1.28,1559509065
Leningradskiy,RU,69.38,178.42,-0.37,95,26,4.51,1559509067
Port Elizabeth,ZA,-33.92,25.57,14.0,93,75,2.1,1559509068
Saint-Philippe,RE,-21.36,55.77,24.0,78,75,7.7,1559509069
Changji,CN,32.07,116.17,22.13,72,0,1.88,1559509071
Busselton,AU,-33.64,115.35,19.53,48,33,7.6,1559508978
Prince Rupert,CA,54.32,-130.32,11.0,87,90,2.6,1559509074
Saldanha,ZA,-33.01,17.94,13.0,87,93,2.1,1559508999
Jamestown,SH,-15.94,-5.72,22.93,67,91,7.02,1559509076
Broome,AU,-17.97,122.23,18.0,22,0,5.7,1559509077
Sao Filipe,CV,14.9,-24.5,23.23,82,0,7.21,1559509018
Visby,SE,57.64,18.3,13.0,76,0,3.1,1559509083
Gushikawa,JP,26.35,127.87,26.0,94,1,2.6,1559509085
Mount Gambier,AU,-37.83,140.78,7.0,81,75,7.7,1559509086
Ancud,CL,-41.87,-73.83,11.0,76,40,5.7,1559509087
Lorengau,PG,-2.02,147.27,26.23,90,92,2.81,1559509088
Torbay,CA,47.66,-52.73,10.0,81,90,4.6,1559509090
Oksfjord,NO,70.24,22.35,5.0,80,75,2.6,1559509091
Pisco,PE,-13.71,-76.2,22.0,30,0,4.6,1559509092
Sabang,ID,1.17,120.82,27.53,77,98,2.43,1559509093
Ambilobe,MG,-13.19,49.05,21.43,93,31,2.21,1559509094
Benjamin Constant,BR,-4.38,-70.03,32.0,58,40,2.6,1559509095
Kasongo-Lunda,CD,-6.48,16.82,21.33,40,53,1.28,1559509097
Meybod,IR,32.25,54.02,24.0,22,0,4.1,1559509103
Ribeira Grande,PT,38.52,-28.7,20.0,94,40,6.7,1559509104
Veselynove,UA,47.36,31.24,21.43,74,94,3.88,1559509105
Udachnyy,RU,66.42,112.4,10.0,71,75,2.0,1559509106
Worthington,US,43.62,-95.6,25.0,29,1,2.6,1559509108
Dicabisagan,PH,17.08,122.42,24.53,86,60,1.26,1559509109
Kiunga,PG,-6.12,141.3,23.33,99,100,0.83,1559509110
Namatanai,PG,-3.66,152.44,26.23,84,70,4.42,1559509111
Ferme-Neuve,CA,46.7,-75.45,15.13,89,37,4.11,1559509112
Villamontes,BO,-21.26,-63.47,20.53,54,0,2.19,1559509113
Sergach,RU,55.53,45.48,15.13,77,100,1.81,1559509114
Henties Bay,NA,-22.12,14.28,11.11,95,0,2.24,1559509008
Kashan,IR,33.99,51.44,26.0,15,0,1.5,1559509117
Sawtell,AU,-30.38,153.1,12.0,100,0,3.6,1559509118
Concepcion del Oro,MX,24.63,-101.42,26.43,28,67,3.77,1559509119
Kahului,US,20.89,-156.47,30.0,51,40,8.2,1559509120
Christchurch,NZ,-43.53,172.64,3.89,92,0,1.0,1559508971
Bosaso,SO,11.28,49.18,30.73,76,94,2.28,1559509129
Robertsport,LR,6.75,-11.37,25.53,90,98,2.45,1559509130
Panjab,AF,34.38,67.02,6.33,68,0,1.69,1559509132
Cidreira,BR,-30.17,-50.22,18.23,78,15,3.51,1559509133
Cobija,BO,-11.03,-68.77,30.0,74,75,5.1,1559509134
Yellowknife,CA,62.45,-114.38,6.0,100,90,4.1,1559508862
Katsuura,JP,33.93,134.5,19.0,93,75,1.5,1559509136
Pevek,RU,69.7,170.27,1.53,89,91,3.65,1559509137
Barrow,US,39.51,-90.4,26.67,36,1,2.6,1559509138
Victoria,SC,-4.62,55.45,29.0,70,100,7.2,1559508960
Sovetskiy,RU,56.76,48.47,12.63,87,0,3.16,1559509141
Ziro,IN,27.54,93.82,12.03,94,89,0.25,1559509142
Oudtshoorn,ZA,-33.59,22.2,12.0,93,0,3.1,1559509143
Northam,AU,-31.65,116.67,15.0,28,8,4.6,1559509144
Antalaha,MG,-14.9,50.28,16.83,98,41,1.93,1559509145
Lamu,KE,-2.27,40.9,27.0,69,1,5.37,1559509146
San Isidro,PH,17.47,120.6,26.63,76,83,1.16,1559509148
Acapulco,MX,16.86,-99.88,30.0,70,75,3.1,1559509149
Muroto,JP,33.37,134.14,17.53,91,99,2.13,1559509150
Paciran,ID,-6.9,112.33,23.43,83,100,3.37,1559509151
Jaisalmer,IN,26.91,70.91,37.03,20,0,8.65,1559509153
Ippy,CF,6.26,21.2,24.43,76,98,1.44,1559509154
Rio Grande,BR,-32.03,-52.1,18.0,82,75,3.1,1559508973
Maliq,AL,40.71,20.7,11.0,87,90,1.5,1559509156
Jacareacanga,BR,-6.22,-57.76,25.93,94,99,1.47,1559509157
New Norfolk,AU,-42.78,147.06,8.0,75,75,6.7,1559508862
Nsanje,MW,-16.92,35.26,16.93,72,0,1.3,1559509160
Vangaindrano,MG,-23.35,47.6,19.03,95,85,1.59,1559509161
Port Blair,IN,11.67,92.75,29.63,78,100,4.77,1559509162
Dikson,RU,73.51,80.55,-2.37,90,3,4.41,1559509010
Kawalu,ID,-7.38,108.21,19.63,97,100,1.55,1559509164
Hasaki,JP,35.73,140.83,18.89,93,75,2.1,1559509166
Chokurdakh,RU,70.62,147.9,0.73,83,98,6.53,1559509167
Karratha,AU,-20.74,116.85,18.33,19,0,7.94,1559509103
Bambous Virieux,MU,-20.34,57.76,24.0,83,75,5.7,1559509169
Presidente Dutra,BR,-11.3,-41.99,23.93,56,0,3.43,1559509170
Richards Bay,ZA,-28.77,32.06,21.33,77,0,2.6,1559509171
Tuatapere,NZ,-46.13,167.69,11.63,80,100,10.67,1559509172
Nemuro,JP,43.32,145.57,10.63,85,85,3.14,1559509174
Opuwo,NA,-18.06,13.84,19.63,23,0,3.04,1559509175
Inverell,AU,-29.78,151.11,7.78,95,71,0.93,1559509176
Esso,RU,55.93,158.7,6.03,84,87,2.47,1559509177
Gornopravdinsk,RU,60.06,69.92,9.73,93,98,3.67,1559509178
Goundam,ML,16.42,-3.66,35.93,9,30,4.91,1559509180
Souillac,MU,-20.52,57.52,24.0,83,75,5.7,1559509181
Duobao,CN,30.67,112.69,22.78,88,0,3.05,1559509182
Port Lincoln,AU,-34.72,135.86,13.13,70,97,8.45,1559509183
Svetlogorsk,RU,53.14,59.15,13.0,66,0,3.0,1559509184
Imeni Poliny Osipenko,RU,52.42,136.49,7.83,75,84,1.43,1559509185
Tulun,RU,54.56,100.58,5.63,88,100,2.78,1559509187
Oranjestad,AW,12.52,-70.03,31.0,66,40,6.7,1559508941
Quatre Cocos,MU,-20.21,57.76,24.0,83,75,5.7,1559509189
Norman Wells,CA,65.28,-126.83,7.0,75,90,3.1,1559508982
Moerai,PF,-22.43,-151.33,24.03,80,2,7.69,1559509191
Pakdasht,IR,35.48,51.68,23.0,28,0,2.1,1559509192
Pajapan,MX,18.26,-94.69,28.0,78,75,3.52,1559509193
Ponta do Sol,CV,17.2,-25.09,25.0,57,20,9.3,1559509194
Narsaq,GL,60.91,-46.05,9.0,45,92,5.1,1559509196
Pekan,MY,3.49,103.39,25.0,94,75,0.35,1559509197
Yeppoon,AU,-23.13,150.74,15.0,93,90,1.86,1559509198
Antsohihy,MG,-14.88,47.99,25.53,72,56,2.99,1559509199
Fairbanks,US,64.84,-147.72,15.0,76,90,3.1,1559509084
Tomatlan,MX,19.93,-105.25,28.73,60,25,6.38,1559509201
Arraial do Cabo,BR,-22.97,-42.02,24.0,83,40,4.1,1559509203
Phan Thiet,VN,10.93,108.1,24.63,90,100,1.44,1559509045
Kansanshi,ZM,-12.1,26.43,12.23,57,0,2.28,1559509205
Bam,IR,29.11,58.36,20.83,28,99,3.12,1559509206
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,10.0,76,16,1.51,1559509207
South Sioux City,US,42.47,-96.41,25.0,27,1,3.1,1559509173
Maldonado,UY,-34.91,-54.96,15.0,77,75,2.1,1559508806
Esperance,AU,-33.86,121.89,9.0,93,0,4.6,1559509215
Makow Mazowiecki,PL,52.86,21.1,20.56,68,0,2.1,1559509216
Severo-Kurilsk,RU,50.68,156.12,5.53,97,98,3.99,1559509217
Beyneu,KZ,45.32,55.19,28.73,29,8,3.7,1559509218
Rosarito,MX,27.04,-109.91,33.89,43,20,5.7,1559509224
Apple Valley,US,34.5,-117.19,31.0,72,90,3.6,1559509077
Cabra,PH,13.89,120.05,30.63,69,100,3.56,1559509227
Cockburn Town,TC,21.46,-71.14,27.63,78,1,6.4,1559509228
Buraydah,SA,26.33,43.97,34.0,23,0,1.5,1559509229
Nabire,ID,-3.36,135.5,21.63,99,100,0.98,1559509030
Mattru,SL,7.62,-11.83,24.63,94,100,1.58,1559509231
Tautira,PF,-17.73,-149.15,29.0,58,20,2.6,1559509233
Vanino,RU,53.93,40.55,15.93,88,100,2.06,1559509234
Dingle,IE,52.14,-10.27,12.0,71,75,6.7,1559509235
Klaksvik,FO,62.23,-6.59,10.0,81,100,4.1,1559509236
Kaitangata,NZ,-46.28,169.85,5.0,77,68,4.92,1559509237
Cilegon,ID,-6.02,106.05,26.0,83,40,1.5,1559509239
Cabo San Lucas,MX,22.89,-109.91,30.0,53,20,5.7,1559509011
Trairi,BR,-3.28,-39.27,23.43,96,100,1.53,1559509241
Buin,CL,-33.73,-70.74,19.0,25,0,1.59,1559509242
Khomutovka,RU,51.92,34.56,15.93,89,98,1.53,1559509243
San Rafael,AR,-34.61,-68.33,14.43,19,24,3.19,1559509244
Palmas,BR,-10.18,-48.33,33.0,46,20,1.5,1559509245
Bealanana,MG,-14.54,48.75,14.53,95,7,2.31,1559509247
Kisangani,CD,0.52,25.21,23.93,78,100,0.23,1559509248
Kavieng,PG,-2.57,150.8,28.63,76,100,5.7,1559509249
Marsh Harbour,BS,26.54,-77.06,27.53,75,14,2.23,1559509250
Chamonix-Mont-Blanc,FR,45.92,6.87,24.0,68,0,1.0,1559509252
Naze,JP,28.37,129.48,24.0,100,90,2.6,1559509253
Mahibadhoo,MV,3.78,72.97,28.93,77,75,4.74,1559509254
Iquique,CL,-20.22,-70.14,18.0,68,0,6.2,1559509255
Tual,ID,-5.67,132.75,27.73,81,100,11.58,1559509256
Ostrovnoy,RU,68.05,39.51,4.43,88,100,9.24,1559509257
Elizabeth City,US,36.3,-76.22,31.11,61,75,1.5,1559509232
Takoradi,GH,4.89,-1.75,24.63,87,76,1.72,1559509260
Noumea,NC,-22.28,166.46,19.0,72,0,1.5,1559509261
Boguchany,RU,58.38,97.46,4.23,89,73,1.94,1559509262
Port Hardy,CA,50.7,-127.42,12.0,87,90,3.1,1559509263
Guerrero Negro,MX,27.97,-114.04,17.93,74,0,4.72,1559509265
Iranshahr,IR,27.21,60.69,36.0,14,0,6.2,1559509266
Coihaique,CL,-45.58,-72.07,8.0,61,20,1.5,1559509267
Ust-Tsilma,RU,65.44,52.15,10.13,89,100,3.63,1559509268
Dongsheng,CN,29.72,112.52,22.13,78,0,3.41,1559509269
Cape Town,ZA,-33.93,18.42,16.67,100,0,1.0,1559509265
Portland,AU,-33.35,149.98,7.78,94,95,3.58,1559509271
Atar,MR,20.52,-13.05,37.93,9,34,2.11,1559509273
Sisimiut,GL,66.94,-53.67,2.53,75,12,5.04,1559509129
Georgetown,SH,-7.93,-14.42,26.0,65,20,6.7,1559509275
Sao Jose da Coroa Grande,BR,-8.9,-35.15,22.93,86,19,1.71,1559508979
Nikolskoye,RU,59.7,30.79,11.11,87,0,4.0,1559509277
Batagay,RU,67.65,134.64,10.03,75,41,4.51,1559509278
Sola,VU,-13.88,167.55,26.93,82,89,9.56,1559509279
Srednekolymsk,RU,67.46,153.71,6.43,55,0,5.86,1559509191
Hay River,CA,60.82,-115.79,12.0,58,75,7.7,1559509282
Sinnamary,GF,5.38,-52.96,27.43,82,61,5.98,1559509283
Dengzhou,CN,32.69,112.08,22.43,64,55,0.63,1559509284
Agirish,RU,61.92,63.02,8.43,62,43,1.86,1559509285
Vestmannaeyjar,IS,63.44,-20.27,8.23,67,0,5.96,1559509287
Chuy,UY,-33.69,-53.46,17.13,72,93,1.89,1559509288
Kargopol,RU,61.51,38.95,9.13,97,100,2.53,1559509289
Tambilil,PH,5.96,124.67,27.03,78,90,1.66,1559509291
Vigrestad,NO,58.57,5.7,17.0,77,75,7.7,1559509292
Lynn Haven,US,30.25,-85.65,34.44,43,20,5.1,1559509293
San Luis,AR,-33.3,-66.34,18.03,35,0,2.34,1559509294
Kodiak,US,39.95,-94.76,25.56,5,1,2.1,1559509296
Karangampel,ID,-6.46,108.44,23.33,72,100,2.23,1559509297
Prainha,BR,-1.8,-53.48,27.63,80,100,1.05,1559509298
Alice Springs,AU,-23.7,133.88,3.0,93,0,2.1,1559509299
Yuanping,CN,38.72,112.71,12.13,29,0,2.63,1559509300
Abha,SA,18.22,42.5,21.0,52,0,1.5,1559509302
Flinders,AU,-34.58,150.85,13.33,100,90,3.1,1559509004
Limoeiro do Ajuru,BR,-1.9,-49.38,25.83,92,43,1.57,1559509300
Santa Rosa,AR,-36.62,-64.29,14.53,45,48,1.78,1559509305
Mehamn,NO,71.03,27.85,3.0,80,75,6.2,1559509306
Saint George,BM,32.38,-64.68,20.0,100,90,0.5,1559509171
Hovd,MN,48.01,91.64,8.73,58,56,3.33,1559509308
Yar-Sale,RU,66.83,70.83,3.53,95,100,0.72,1559509310
Goiatuba,BR,-18.02,-49.36,26.03,54,80,0.63,1559509311
Araouane,ML,18.9,-3.53,36.23,10,100,4.17,1559509312
Carnarvon,AU,-24.87,113.63,12.0,37,0,4.1,1559509313
Lunca Banului,RO,44.61,23.25,17.22,93,75,3.6,1559509314
Cherskiy,RU,68.75,161.3,9.63,50,1,3.76,1559509315
Benito Juarez,MX,28.64,-111.57,33.89,59,0,3.58,1559509317
Yulara,AU,-25.24,130.99,7.0,65,0,3.6,1559509318
Naryan-Mar,RU,67.67,53.09,7.23,94,96,1.85,1559509323
Nizhnyaya Salda,RU,58.07,60.71,9.73,63,25,1.76,1559509325
Jiangyou,CN,31.78,104.73,13.13,73,0,2.04,1559509326
Luderitz,NA,-26.65,15.16,12.0,87,0,1.5,1559509327
Galesong,ID,-5.32,119.37,28.03,79,100,7.91,1559509328
Lagoa,PT,37.14,-8.45,22.22,68,0,1.5,1559509036
Salalah,OM,17.01,54.1,30.0,79,40,3.6,1559509330
Bilma,NE,18.69,12.92,34.53,20,29,1.83,1559509332
Nanortalik,GL,60.14,-45.24,2.03,86,3,3.37,1559509333
Grand-Santi,GF,4.27,-54.38,25.53,97,100,1.1,1559509334
Taungdwingyi,MM,20.0,95.55,26.73,79,61,4.41,1559509335
Berezovyy,RU,51.67,135.7,7.03,76,15,0.83,1559509336
Dunedin,NZ,-45.87,170.5,9.44,62,59,0.89,1559509231
Zyryanka,RU,65.73,150.89,11.23,47,0,5.85,1559509338
Pekan Nenas,MY,1.51,103.51,28.0,100,75,0.28,1559509340
Sambava,MG,-14.27,50.17,17.63,95,19,1.57,1559509341
Severouralsk,RU,60.15,59.96,9.53,62,89,2.05,1559509342
Ranong,TH,9.96,98.62,27.83,77,57,1.38,1559509136
Zhanakorgan,KZ,43.91,67.25,24.23,43,21,1.85,1559509344
Jimo,CN,36.39,120.46,20.0,82,0,5.0,1559509345
Nevel,RU,56.02,29.92,10.93,92,1,2.12,1559509346
Waitati,NZ,-45.75,170.57,9.44,62,59,0.89,1559509348
Adwa,ET,14.16,38.9,23.03,48,100,1.02,1559509349
Wanning,CN,18.8,110.4,23.93,97,100,1.25,1559509350
Kathu,ZA,-27.7,23.05,12.22,51,0,1.58,1559509351
Granadilla de Abona,ES,28.12,-16.58,25.0,83,0,2.6,1559509352
Talnakh,RU,69.49,88.39,-1.0,100,40,2.0,1559509353
Hervey Bay,AU,-25.3,152.85,16.0,93,75,2.6,1559509354
Biak,ID,-0.91,122.88,19.03,99,100,1.13,1559509356
Waipawa,NZ,-39.94,176.59,7.23,75,2,3.5,1559509357
Yuancheng,CN,36.65,107.79,16.13,30,98,0.43,1559509358
Bo Rai,TH,12.57,102.54,31.67,74,100,0.48,1559509359
Nouadhibou,MR,20.93,-17.03,20.0,82,0,6.7,1559509360
George,ZA,-33.96,22.46,12.0,93,0,3.1,1559509361
Barranca,PE,-10.75,-77.76,17.23,92,5,5.7,1559509363
Bima,ID,-8.45,118.73,21.53,97,89,1.49,1559509364
Popondetta,PG,-8.77,148.24,19.73,83,56,1.15,1559509365
Westport,NZ,-41.75,171.6,3.93,72,0,2.23,1559509366
Toucheng,TW,24.86,121.82,26.67,88,75,1.0,1559509367
Walvis Bay,NA,-22.95,14.51,10.0,93,0,2.1,1559509368
Nantucket,US,41.28,-70.1,21.0,87,20,3.6,1559509370
Quelimane,MZ,-17.88,36.89,20.0,88,20,1.5,1559509371
Bitkine,TD,11.98,18.21,35.83,23,30,3.12,1559509372
Leczyca,PL,52.06,19.2,18.33,88,0,1.0,1559509373
Khatanga,RU,71.98,102.47,4.23,94,87,3.19,1559509374
Voila,RO,45.82,24.84,16.11,87,20,1.0,1559509375
Shenjiamen,CN,29.96,122.3,19.73,92,100,2.39,1559509377
Siva,RU,56.42,50.83,12.53,78,0,3.59,1559509378
Colon,PA,9.36,-79.9,31.11,70,20,3.6,1559509379
Hofn,IS,64.25,-15.21,-0.37,74,99,5.15,1559509380
Bogorodskoye,RU,52.37,140.44,4.03,92,90,2.35,1559509381
North Bend,US,43.41,-124.22,18.89,77,1,9.3,1559509126
Palmares,CR,10.06,-84.43,26.11,78,75,5.1,1559509383
Faanui,PF,-16.48,-151.75,27.83,68,52,5.07,1559509385
Mercedes,AR,-29.18,-58.08,16.33,85,0,3.21,1559509386
Abay,KZ,49.63,72.87,11.0,81,0,2.0,1559509387
Alihe,CN,50.57,123.73,10.73,63,63,0.85,1559509388
Joshimath,IN,30.57,79.57,11.03,35,0,3.03,1559509389
Damavand,IR,35.72,52.07,23.0,23,0,4.1,1559509390
Cap Malheureux,MU,-19.98,57.61,24.0,83,75,5.7,1559509392
Jasper,CA,52.88,-118.08,15.53,38,97,6.91,1559509393
Conde,BR,-11.81,-37.61,22.83,85,4,1.6,1559509394
Half Moon Bay,US,37.46,-122.43,26.11,82,75,6.7,1559509395
Meulaboh,ID,4.14,96.13,27.23,79,100,3.27,1559509396
Vao,NC,-22.67,167.48,22.03,65,28,4.89,1559509397
Caxito,AO,-8.58,13.66,24.0,78,75,3.1,1559509405
Maine-Soroa,NE,13.21,12.02,36.93,24,0,0.53,1559509406
Mecca,SA,21.43,39.83,34.63,26,100,4.31,1559508923
Salisbury,CA,46.03,-65.04,12.78,87,90,5.1,1559509409
Taoudenni,ML,22.68,-3.98,35.33,8,0,6.37,1559509410
Paradise,US,39.76,-121.62,30.0,45,1,1.5,1559509244
Manokwari,ID,-0.87,134.08,23.83,72,91,1.88,1559509210
Beisfjord,NO,68.38,17.6,7.22,87,75,2.1,1559509413
Tra Vinh,VN,9.93,106.35,27.13,84,100,0.91,1559509414
Thompson,CA,55.74,-97.86,11.0,22,75,2.1,1559509416
Hami,CN,42.84,93.51,22.23,23,91,8.7,1559509129
Aswan,EG,24.09,32.9,38.0,21,0,3.1,1559509147
Merauke,ID,-8.49,140.4,27.43,77,75,11.28,1559509420
Kirkenaer,NO,60.46,12.06,12.0,93,75,3.1,1559509423
Lebyazhye,RU,59.96,29.42,11.11,87,0,4.0,1559509424
Huilong,CN,31.15,106.5,22.63,56,0,1.15,1559509426
Zhigansk,RU,66.77,123.37,14.73,52,0,2.54,1559509428
Tilichiki,RU,60.47,166.1,6.93,88,100,1.54,1559509430
Sokolo,ML,14.74,-6.12,38.83,20,87,4.07,1559509431
Polyarnyy,RU,69.2,33.45,3.0,87,75,4.0,1559509432
Nara,ML,15.17,-7.29,39.53,17,100,3.63,1559509433
Kiomboi,TZ,-4.28,34.41,22.33,53,35,2.55,1559509435
Ust-Kut,RU,56.78,105.75,1.63,74,46,1.84,1559509436
Broken Hill,AU,-31.97,141.45,5.0,86,0,4.1,1559509437
Beringovskiy,RU,63.05,179.32,9.23,74,83,2.93,1559509438
Porbandar,IN,21.64,69.61,28.63,90,16,6.9,1559509439
Kavaratti,IN,10.57,72.64,29.43,76,92,4.64,1559509440
Thunder Bay,CA,48.41,-89.26,15.0,30,75,5.7,1559509442
Orapa,BW,-21.28,25.37,15.63,33,0,2.28,1559509443
Pangani,TZ,-5.43,38.97,18.43,83,39,2.1,1559509444
Mogadishu,SO,2.04,45.34,25.93,78,100,4.73,1559509445
Mezen,RU,65.85,44.24,5.63,76,30,4.32,1559509446
Awjilah,LY,29.14,21.3,29.93,31,100,5.77,1559509448
Amapa,BR,-1.83,-56.23,29.23,72,92,1.37,1559509449
Plonsk,PL,52.62,20.38,20.56,68,0,2.1,1559509450
Guisa,CU,20.25,-76.54,33.0,55,40,1.5,1559509451
Douglas,US,31.51,-82.85,36.0,21,40,4.1,1559509294
Soyo,AO,-6.13,12.37,25.03,83,44,5.15,1559509453
Solnechnyy,RU,50.72,136.64,6.83,79,27,2.97,1559509454
Ucluelet,CA,48.94,-125.55,23.89,82,20,4.1,1559509326
Khuzhir,RU,53.19,107.35,3.73,97,77,0.74,1559509457
Auki,SB,-8.77,160.7,28.33,79,100,6.91,1559509458
Nyurba,RU,63.29,118.35,10.53,65,50,1.53,1559509459
Sribne,UA,50.66,32.92,16.73,83,0,1.65,1559509460
