City,Country,Latitude,Longitude,Max. Temp.(C),Humidity(%),Cloudiness(%),Windspeed(mph),Date
San Patricio,MX,19.22,-104.7,31.0,74,40,5.1,1563841669
Bambanglipuro,ID,-7.95,110.28,22.92,85,78,3.07,1563841670
Suez,EG,29.97,32.54,23.22,81,0,4.91,1563841672
Labuhan,ID,-2.54,115.51,23.72,73,3,0.28,1563841673
Khasan,RU,42.43,130.64,27.02,69,9,1.75,1563841674
North Bend,US,43.41,-124.22,21.11,60,1,8.2,1563841676
Cidreira,BR,-30.17,-50.22,17.92,91,97,2.09,1563841447
Puerto Ayacucho,VE,5.66,-67.62,28.0,78,40,2.56,1563841678
Launceston,AU,-41.43,147.14,10.0,87,75,8.7,1563841680
Sorland,NO,67.67,12.69,11.22,89,12,2.75,1563841681
Constancia,MX,25.96,-108.9,33.89,55,75,8.2,1563841682
Port Lincoln,AU,-34.72,135.86,14.42,70,44,14.85,1563841683
Hokitika,NZ,-42.72,170.96,12.32,60,41,1.68,1563841684
Jieshi,CN,22.82,115.83,29.44,81,83,1.63,1563841685
Phuket,TH,7.89,98.4,24.0,94,20,1.0,1563841114
Sembe,CG,1.65,14.58,19.62,95,11,0.95,1563841688
Pontianak,ID,-0.02,109.34,26.12,82,99,3.75,1563841689
Kinablangan,PH,7.69,126.55,26.42,70,95,0.8,1563841690
Belaya Gora,RU,68.54,146.19,7.92,57,31,2.93,1563841691
Myitkyina,MM,25.38,97.4,21.92,99,100,0.61,1563841693
Kurumkan,RU,54.33,110.32,15.22,85,95,2.21,1563841695
Conde,BR,-11.81,-37.61,19.82,98,39,1.36,1563841696
Bamboo,JM,18.39,-77.27,27.0,78,75,3.6,1563841698
Muhos,FI,64.81,26.0,16.0,67,0,2.6,1563841699
Geraldton,AU,-28.77,114.6,12.0,87,20,3.6,1563841700
La Puebla de Cazalla,ES,37.22,-5.31,28.0,69,0,1.5,1563841701
Phetchabun,TH,16.42,101.16,27.0,83,75,1.5,1563841702
Rawson,AR,-43.3,-65.11,4.82,57,0,5.48,1563841703
Caucaia,BR,-3.73,-38.66,24.0,88,75,6.2,1563841705
Sitka,US,37.17,-99.65,28.33,41,14,2.68,1563841706
Tuatapere,NZ,-46.13,167.69,7.78,96,49,1.34,1563841450
Hirara,JP,24.8,125.28,30.0,83,75,4.1,1563841708
Jhargram,IN,22.45,86.99,27.02,81,100,0.51,1563841709
Ibra,OM,22.69,58.55,23.12,82,47,0.58,1563841710
Chemal,RU,51.41,86.0,12.32,94,96,1.21,1563841711
Ishigaki,JP,24.34,124.16,29.0,83,75,3.1,1563841713
Merauke,ID,-8.49,140.4,25.02,83,98,8.23,1563841714
Hithadhoo,MV,-0.6,73.08,28.42,75,67,4.66,1563841474
Fairbanks,US,64.84,-147.72,26.67,36,1,0.38,1563841703
Havelock,US,34.88,-76.9,29.44,70,1,7.2,1563841556
Ahipara,NZ,-35.17,173.16,17.78,100,29,4.99,1563841718
Misratah,LY,32.38,15.09,26.02,67,0,3.89,1563841719
Qasigiannguit,GL,68.82,-51.19,11.0,62,5,0.5,1563841720
Grindsted,DK,55.76,8.93,17.22,100,26,3.6,1563841722
Narsaq,GL,60.91,-46.05,11.0,66,31,2.6,1563841723
Salym,RU,60.06,71.48,14.02,68,2,1.66,1563841724
Vao,NC,-22.67,167.48,19.42,67,34,6.88,1563841725
Yumen,CN,40.29,97.04,21.92,43,49,5.05,1563841726
Santa Margherita Ligure,IT,44.33,9.21,26.11,69,0,1.0,1563841727
Kamenka,RU,53.19,44.05,16.67,57,0,2.23,1563841729
Sur,OM,22.57,59.53,25.82,78,61,4.76,1563841730
Rio Grande,BR,-32.03,-52.1,15.56,96,97,2.06,1563841475
Inirida,CO,3.87,-67.92,23.72,94,80,0.53,1563841732
Bowen,AU,-20.01,148.25,23.89,73,75,6.7,1563841733
Anadyr,RU,64.73,177.51,13.0,54,40,5.0,1563841734
Sorong,ID,-0.86,131.25,24.52,90,100,4.39,1563841735
Jinan,CN,36.65,117.11,28.92,76,69,2.93,1563841736
Margate,ZA,-30.86,30.37,17.72,14,0,4.94,1563841738
Bulancak,TR,40.94,38.23,23.0,69,75,4.6,1563841739
Portland,AU,-33.35,149.98,13.89,55,0,5.36,1563841740
Valley City,US,46.92,-98.0,25.0,50,1,1.5,1563841741
Weligama,LK,5.97,80.42,28.22,76,100,8.07,1563841742
Dana Point,US,33.47,-117.7,33.33,54,1,2.6,1563841743
Alekseyevsk,RU,57.84,108.35,17.82,52,40,2.82,1563841745
Pevek,RU,69.7,170.27,-0.49,98,100,5.42,1563841746
Paralimni,CY,35.04,33.98,26.0,94,20,3.6,1563841747
Yanam,IN,16.73,82.22,26.02,88,99,2.25,1563841748
Richards Bay,ZA,-28.77,32.06,18.42,40,0,4.02,1563841749
Zhigansk,RU,66.77,123.37,18.22,31,17,3.31,1563841750
Lompoc,US,34.64,-120.46,27.78,72,1,6.2,1563841752
Dengfeng,CN,34.46,113.03,25.62,77,94,2.59,1563841753
Ambanja,MG,-13.68,48.45,24.22,73,47,4.67,1563841754
Xingyi,CN,24.19,102.82,16.62,96,100,0.85,1563841755
Viet Tri,VN,21.3,105.43,28.0,83,75,3.1,1563841756
Freeport,US,42.3,-89.62,24.0,49,40,4.1,1563841757
Inta,RU,66.04,60.13,14.62,80,90,6.43,1563841759
Ishinomaki,JP,38.42,141.3,21.0,100,75,2.1,1563841760
Arambagh,IN,22.88,87.79,28.42,76,100,3.5,1563841761
Sao Joao da Barra,BR,-21.64,-41.05,21.0,88,0,1.26,1563841762
Riyadh,SA,24.63,46.72,32.0,15,0,2.1,1563841685
West Bay,KY,19.37,-81.42,31.0,70,20,4.6,1563841764
Laurel,US,31.69,-89.13,31.0,62,1,3.6,1563841518
Virginia Beach,US,36.85,-75.98,34.0,55,40,6.2,1563841767
Bedford,US,42.49,-71.28,21.0,83,90,4.6,1563841561
Saint-Augustin,CA,45.63,-73.98,22.78,43,75,3.1,1563841769
Lakatoro,VU,-16.11,167.42,23.72,65,2,4.44,1563841770
Puerto Baquerizo Moreno,EC,-0.9,-89.6,22.0,88,75,6.2,1563841771
Kampong Thum,KH,12.71,104.89,27.12,77,100,0.92,1563841523
Tazovskiy,RU,67.47,78.7,9.62,79,43,6.9,1563841603
Nortelandia,BR,-14.45,-56.8,24.42,42,74,1.09,1563841778
Dombarovskiy,RU,50.76,59.54,18.12,55,95,3.38,1563841779
Niort,FR,46.32,-0.46,24.0,73,0,2.6,1563841780
Vanavara,RU,60.35,102.28,17.22,59,10,2.57,1563841781
Sal Rei,CV,16.18,-22.92,24.0,78,75,8.2,1563841782
Muroto,JP,33.37,134.14,27.0,83,40,2.6,1563841783
Kotido,UG,3.01,34.12,17.92,90,98,1.54,1563841785
Berbera,SO,10.44,45.01,32.32,43,92,10.93,1563841786
Almaznyy,RU,48.03,40.04,17.0,82,0,2.0,1563841787
Sarakhs,IR,36.54,61.16,25.22,15,0,4.05,1563841788
Lyubech,UA,51.7,30.66,14.32,97,11,3.11,1563841789
Gao,ML,16.28,-0.04,32.12,40,63,5.09,1563841790
Plaster Rock,CA,46.91,-67.4,19.0,55,1,1.5,1563841791
Biak,ID,-0.91,122.88,17.42,90,54,2.85,1563841793
Los Llanos de Aridane,ES,28.66,-17.92,22.0,64,90,5.1,1563841794
Gornopravdinsk,RU,60.06,69.92,14.22,64,15,2.08,1563841795
Naze,JP,28.37,129.48,28.0,88,75,1.0,1563841796
Poopo,BO,-18.38,-66.97,9.92,33,32,4.38,1563841797
Dongling,CN,32.28,121.37,33.33,66,55,3.13,1563841798
Oyama,JP,36.31,139.8,25.56,94,75,2.6,1563841800
Longyearbyen,SJ,78.22,15.64,7.0,87,75,1.0,1563841704
La Romana,DO,18.43,-68.97,28.0,78,20,3.04,1563841706
Taoudenni,ML,22.68,-3.98,36.42,9,2,4.22,1563841805
Aksu,CN,41.12,80.26,23.82,32,0,1.72,1563841807
Le Creusot,FR,46.81,4.43,21.11,73,0,1.93,1563841808
Fasa,IR,28.94,53.65,28.0,32,12,3.79,1563841811
Sumbe,AO,-11.2,13.84,21.42,84,61,5.46,1563841813
Korhogo,CI,9.46,-5.63,22.02,93,52,3.41,1563841814
Nicoya,CR,10.15,-85.45,29.0,66,75,3.6,1563841816
Srednekolymsk,RU,67.46,153.71,4.52,90,100,5.32,1563841817
Borivka,UA,50.46,29.55,17.22,88,68,3.0,1563841818
Port Hardy,CA,50.7,-127.42,21.0,64,75,4.6,1563841820
Front Royal,US,38.92,-78.19,27.0,69,1,2.6,1563841821
Luganville,VU,-15.51,167.18,26.0,61,40,2.6,1563841822
Saint George,BM,32.38,-64.68,29.0,79,75,4.6,1563841824
Sawtell,AU,-30.38,153.1,22.0,46,0,4.1,1563841825
Kirakira,SB,-10.46,161.92,27.72,75,1,6.71,1563841826
Bulaevo,KZ,54.91,70.44,16.62,97,99,2.46,1563841827
Clyde River,CA,70.47,-68.59,6.0,87,1,5.7,1563841829
Peniche,PT,39.36,-9.38,18.0,88,20,4.6,1563841830
Manthani,IN,18.65,79.67,25.52,89,49,2.18,1563841831
Tommot,RU,58.97,126.27,18.22,51,48,2.48,1563841833
Rio Gallegos,AR,-51.62,-69.22,3.0,93,0,8.7,1563841544
Whitecourt,CA,54.14,-115.68,26.0,50,20,4.1,1563841801
Vagur,FO,61.47,-6.81,11.22,93,92,4.23,1563841837
Port Said,EG,25.34,30.55,26.62,29,0,3.15,1563841838
Thinadhoo,MV,0.53,72.93,28.22,76,36,5.13,1563841839
Mount Pleasant,US,32.79,-79.86,29.44,74,1,4.1,1563841840
Kerrville,US,30.05,-99.14,34.44,28,1,3.1,1563841841
Grand-Santi,GF,4.27,-54.38,22.42,97,67,0.73,1563841842
Dickinson,US,46.88,-102.79,27.22,44,20,3.6,1563841700
Bukama,CD,-9.2,25.85,14.42,51,0,1.11,1563841845
Port Moresby,PG,-9.47,147.16,27.0,83,40,5.1,1563841846
Aswan,EG,24.09,32.9,29.0,25,0,2.6,1563841847
Onguday,RU,50.75,86.14,9.82,92,100,1.62,1563841848
Dedougou,BF,12.47,-3.47,26.22,67,51,2.74,1563841849
Warmbad,NA,-28.45,18.73,10.32,60,0,3.68,1563841850
Baculin,PH,7.45,126.58,26.42,70,95,0.8,1563841852
Lagoa,PT,37.14,-8.45,24.44,83,0,1.0,1563841662
Cam Ranh,VN,11.92,109.15,31.0,70,20,1.5,1563841854
Hornepayne,CA,49.22,-84.78,20.62,39,89,6.18,1563841856
Amapa,BR,-1.83,-56.23,26.02,67,0,1.58,1563841857
Zonguldak,TR,41.25,31.83,23.72,66,0,3.27,1563841858
Dicabisagan,PH,17.08,122.42,26.02,86,49,0.64,1563841860
Hovd,MN,48.01,91.64,16.22,44,36,2.96,1563841861
Nuevo Casas Grandes,MX,30.42,-107.91,25.92,43,87,1.95,1563841862
Shimsk,RU,58.21,30.71,13.82,78,82,1.45,1563841863
Fuxin,CN,42.02,121.65,24.72,76,100,1.64,1563841864
Khvorostyanka,RU,52.62,48.95,12.92,92,0,2.7,1563841866
Taltal,CL,-25.41,-70.49,8.52,89,69,1.28,1563841867
Clinton,US,30.87,-91.02,28.33,78,40,3.6,1563841868
Leh,IN,34.16,77.58,5.42,43,0,0.56,1563841869
Opunake,NZ,-39.45,173.86,12.52,79,73,4.75,1563841870
Alice,US,27.75,-98.07,34.0,70,40,4.1,1563841604
Sun Valley,US,43.7,-114.35,32.78,31,40,4.1,1563841724
Tolaga Bay,NZ,-38.37,178.3,9.02,98,99,0.63,1563841873
Nome,US,30.04,-94.42,30.0,83,1,1.5,1563841875
Flin Flon,CA,54.77,-101.88,30.0,33,40,2.6,1563841876
Vardo,NO,70.37,31.11,10.92,87,29,5.43,1563841692
Iqaluit,CA,63.75,-68.52,6.0,81,40,2.1,1563841846
Verkhoyansk,RU,67.55,133.39,15.02,34,9,3.28,1563841879
Moussoro,TD,13.64,16.49,27.52,58,98,2.55,1563841880
Mapiri,BO,-15.31,-68.22,10.32,96,92,0.87,1563841881
Pedasi,PA,7.53,-80.03,23.72,91,100,1.94,1563841883
Rabo de Peixe,PT,37.8,-25.58,21.0,100,75,4.1,1563841884
Chifeng,CN,42.27,118.96,17.62,93,99,3.07,1563841885
Banda,IN,25.47,80.33,33.32,48,87,5.13,1563841886
Boulder,US,40.02,-105.27,27.78,36,1,2.1,1563841677
Beringovskiy,RU,63.05,179.32,9.32,77,100,1.08,1563841889
High Rock,BS,26.63,-78.28,28.0,74,75,5.1,1563841891
